names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Tmsb10,24.415625,5.25796,1.1672092919066828e-131,2.5937984264592953e-129,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Igfbp7,23.835506,7.5498953,1.431542772546668e-125,2.202373496225643e-123,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps27,20.568064,1.9236231,5.304263947310227e-94,4.080203036392482e-92,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Gng11,20.40157,4.1195683,1.619353555577394e-92,1.1995211522795512e-90,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps27a,19.285778,1.97098,7.07183733206208e-83,4.4198983325388e-81,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Bsg,19.272938,3.878714,9.064136202851302e-83,5.49341588051594e-81,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rpl9,18.898115,1.8087455,1.1820036644866581e-79,6.5666870249258785e-78,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps7,18.718288,2.1066222,3.5126330246846346e-78,1.8487542235182288e-76,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Fau,18.33126,1.8132548,4.659859627044962e-75,2.2731022570951033e-73,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Itm2a,18.090761,8.243934,3.768485483427568e-73,1.7945168968702704e-71,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps4x,18.00328,1.9425888,1.836123685553479e-72,8.54011016536502e-71,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ifitm3,17.479883,4.7829986,2.039154889605785e-68,8.67725484938632e-67,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps23,17.080015,1.570255,2.090618921644623e-65,8.710912173519262e-64,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cldn5,17.009962,9.000651,6.928332378595105e-65,2.8278907667735123e-63,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps6,16.87486,2.352604,6.888628043982406e-64,2.7554512175929622e-62,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Car4,16.656092,8.477016,2.7331243597471277e-62,1.0718134744106384e-60,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Klf2,16.416016,7.3473544,1.469018633994741e-60,5.650071669210542e-59,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ftl1,16.34723,1.2797769,4.5519940736713997e-60,1.7177336127061886e-58,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Junb,16.241056,3.9327302,2.584368325881324e-59,9.571734540301201e-58,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rpl3,15.976077,1.5665987,1.875869933526983e-57,6.699535476882082e-56,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Egfl7,15.580584,7.7996335,9.86506174278341e-55,3.4614251729064593e-53,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Esam,15.557585,8.611467,1.4133301997028183e-54,4.873552412768338e-53,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Flt1,15.489153,8.916116,4.106674047810545e-54,1.3920928975628967e-52,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Col4a1,15.3755,5.5448737,2.38993553583077e-53,7.966451786102567e-52,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pglyrp1,15.359908,7.84545,3.040046863640294e-53,9.967366766033751e-52,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Serpinh1,15.254368,2.3072233,1.53978597956502e-52,4.967051546983936e-51,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Cxcl12,15.163008,7.408585,6.215619346906216e-52,1.9423810459081926e-50,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ier2,15.155601,4.623037,6.957661488499185e-52,2.1408189195382107e-50,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ly6c1,15.030025,7.61516,4.6683265961311e-51,1.4146444230700303e-49,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rps29,15.017325,1.539921,5.654318212496218e-51,1.687856182834692e-49,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Ramp2,14.890339,3.6384118,3.808336411972431e-50,1.1200989446977738e-48,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Rpl36a,14.873407,1.6877528,4.905189864433288e-50,1.4217941636038515e-48,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
Pltp,14.719824,4.306059,4.809112929532107e-49,1.3546796984597484e-47,astrocyte_vs_endothelial cell,astrocyte,endothelial cell
