names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Hexb,25.574963,8.283387,2.8978659719927153e-144,5.795731943985431e-141,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ctss,25.476402,10.456382,3.600373685074887e-143,2.8523234486473226e-140,astrocyte_vs_microglial cell,astrocyte,microglial cell
C1qa,25.469639,11.111184,4.278485172970984e-143,2.8523234486473226e-140,astrocyte_vs_microglial cell,astrocyte,microglial cell
C1qb,25.290703,10.47992,4.0425387992864677e-141,1.6242274629572734e-138,astrocyte_vs_microglial cell,astrocyte,microglial cell
C1qc,25.290527,9.941748,4.060568657393184e-141,1.6242274629572734e-138,astrocyte_vs_microglial cell,astrocyte,microglial cell
P2ry12,25.01716,10.196096,3.977364449985552e-138,1.3257881499951841e-135,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ctsd,24.969727,4.26212,1.3040719128590414e-137,3.7259197510258327e-135,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tyrobp,24.785433,10.161313,1.287231582426763e-135,2.5744631648535262e-133,astrocyte_vs_microglial cell,astrocyte,microglial cell
Lgmn,24.631268,5.3810434,5.843116855515187e-134,9.73852809252531e-132,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cst3,24.386274,2.4740405,2.3915861072069973e-131,3.679363241856919e-129,astrocyte_vs_microglial cell,astrocyte,microglial cell
Tmem119,24.279634,31.784761,3.217584960931104e-130,4.596549944187291e-128,astrocyte_vs_microglial cell,astrocyte,microglial cell
Selplg,23.990105,10.827717,3.5274979434856026e-127,4.409372429357003e-125,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fcer1g,23.770145,9.40875,6.802056542722581e-125,8.002419462026565e-123,astrocyte_vs_microglial cell,astrocyte,microglial cell
Trem2,23.628456,31.357197,1.96594458276578e-123,2.184382869739756e-121,astrocyte_vs_microglial cell,astrocyte,microglial cell
Csf1r,23.151031,10.882699,1.4194019992679896e-118,1.4941073676505153e-116,astrocyte_vs_microglial cell,astrocyte,microglial cell
Cx3cr1,22.174044,9.3482895,6.116031667088279e-109,5.318288406163721e-107,astrocyte_vs_microglial cell,astrocyte,microglial cell
Ftl1,21.819424,2.4248607,1.5176031467488485e-105,1.2140825173990786e-103,astrocyte_vs_microglial cell,astrocyte,microglial cell
Gpr34,21.561693,10.384885,4.1128336955296203e-103,3.1637182273304773e-101,astrocyte_vs_microglial cell,astrocyte,microglial cell
B2m,21.551767,4.0214186,5.096467807368405e-103,3.7751613387914115e-101,astrocyte_vs_microglial cell,astrocyte,microglial cell
Fau,21.107458,2.741903,6.792869444672723e-99,4.684737548050153e-97,astrocyte_vs_microglial cell,astrocyte,microglial cell
