names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Olig1,9.756648,4.0834007,1.7277075605163377e-22,1.3458674214905755e-19,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pdgfra,9.043362,8.7542305,1.519262897000575e-19,5.064209656668584e-17,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Olig2,8.846953,4.1736727,8.994109326161028e-19,1.9986909613691173e-16,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
C1ql1,8.696364,6.863435,3.4268651033691125e-18,6.853730206738225e-16,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cspg5,7.5921364,2.089443,3.1467319493264084e-14,3.702037587442833e-12,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tmsb10,7.544441,3.6378229,4.5423101930816344e-14,5.0470113256462606e-12,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Matn4,7.1730604,5.698747,7.333944729172408e-13,6.667222481065827e-11,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Opcml,6.905913,5.699617,4.988161439998771e-12,3.990529151999017e-10,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cacng4,6.5985727,4.3287716,4.151353653114104e-11,2.863002519389037e-09,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Scrg1,6.385015,2.0204742,1.713804184302582e-10,1.1056801189048917e-08,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tpm1,6.2014685,3.8022506,5.593872568512851e-10,3.496170355320532e-08,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Gpr17,5.8793907,6.6391063,4.1177907542628905e-09,2.353023288150223e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Jun,5.8434854,3.0382905,5.1119801116923865e-09,2.7632324928066956e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Ccnd1,5.7480946,5.2358456,9.025473283078499e-09,4.6284478374761533e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Sirt2,5.7322855,2.3275876,9.908631419391595e-09,4.954315709695797e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rpl11,5.7263904,1.5843977,1.0258989783755334e-08,5.004385260368455e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Cd9,5.6813745,2.1535544,1.3361638338928425e-08,6.362684923299249e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Tmem100,5.6706567,2.3773582,1.422512369366927e-08,6.616336601706638e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Rprm,5.6028647,6.578865,2.108375253025966e-08,9.166848926199852e-07,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Fxyd6,5.5439157,3.5501885,2.9578143590621464e-08,1.2586444081115518e-06,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Mpzl1,5.238183,2.9390874,1.6216522693601375e-07,6.48660907744055e-06,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Emid1,5.204689,3.9099758,1.9432169620193286e-07,7.620458674585603e-06,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Arhgap31,5.1320744,3.4447305,2.865664470060166e-07,1.0813828188906287e-05,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pcdh15,4.7952595,7.4383802,1.6246458910003276e-06,5.4810156560687685e-05,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Lims2,4.7928476,7.7867503,1.6443046968206305e-06,5.4810156560687685e-05,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Pcp4,4.6489577,2.6771464,3.3361654089162057e-06,0.00010591001298146685,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Nxph1,4.524092,8.613647,6.065523221986595e-06,0.0001866314837534337,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
Neu4,4.5117664,7.7615747,6.428990985628848e-06,0.0001948179086554196,astrocyte_vs_oligodendrocyte precursor cell,astrocyte,oligodendrocyte precursor cell
