names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Hexb,22.000135,8.158796,2.871146219869061e-107,3.8985046906861053e-104,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cst3,21.986258,5.645166,3.8985046906861056e-107,3.8985046906861053e-104,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
C1qa,21.921555,10.349924,1.618370253436372e-106,9.215311794235214e-104,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ctss,21.915634,9.805744,1.843062358847043e-106,9.215311794235214e-104,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
C1qb,21.754797,9.58315,6.22215261890535e-105,2.48886104756214e-102,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
C1qc,21.735407,9.607102,9.493904704760377e-105,3.1646349015867925e-102,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Ctsd,21.691319,5.2016454,2.4778160061613255e-104,7.079474303318073e-102,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
P2ry12,21.511906,10.167266,1.2045063274523476e-102,3.011265818630869e-100,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tyrobp,21.344538,9.255741,4.382840771588395e-101,9.739646159085323e-99,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Lgmn,21.31739,6.4448075,7.830499348452665e-101,1.566099869690533e-98,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Tmem119,20.824467,7.9840655,2.598051901962749e-96,4.7237307308413624e-94,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Selplg,20.625051,10.091737,1.6355759142415454e-94,2.725959857069242e-92,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Fcer1g,20.464008,9.986668,4.50753617584325e-93,6.934671039758847e-91,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Trem2,20.31256,9.858901,9.957713454732344e-92,1.422530493533192e-89,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Csf1r,19.87454,9.021585,6.760201433006632e-88,9.01360191067551e-86,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Cx3cr1,19.115253,11.160381,1.8850029402727848e-81,2.356253675340981e-79,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Gpr34,18.509865,9.082514,1.7192952505960112e-76,2.0227002948188366e-74,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
Laptm5,17.678732,7.866882,6.115622001504627e-70,6.437496843689081e-68,endothelial cell_vs_microglial cell,endothelial cell,microglial cell
