names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Cspg5,9.91293,7.5710554,3.6575957352210147e-23,6.067665268654397e-20,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Olig1,9.862246,7.602738,6.067665268654398e-23,6.067665268654397e-20,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Dbi,9.38286,3.3934925,6.4206620332846424e-21,4.280441355523095e-18,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Scrg1,9.346959,7.9969583,9.020345704342739e-21,4.346170997404085e-18,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Olig2,9.32725,7.9173837,1.0865427493510213e-20,4.346170997404085e-18,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fabp7,9.079461,8.127795,1.0911379394084777e-19,3.637126464694925e-17,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ptprz1,8.813371,8.476083,1.2143840162652464e-18,3.469668617900704e-16,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
C1ql1,8.507155,7.913051,1.782529728688894e-17,4.4563243217222354e-15,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pdgfra,8.164334,4.284144,3.2321152266700403e-16,6.694333409774237e-14,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Bcan,8.122098,6.1800504,4.581926317829725e-16,8.330775123326774e-14,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Matn4,7.1393933,8.007665,9.374379533673221e-13,1.562396588945537e-10,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Opcml,6.8176913,6.9412456,9.251527375909282e-12,1.3811897373343064e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tmem100,6.7860136,3.963378,1.1527421952367998e-11,1.5369895936490664e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Serpine2,6.769823,2.378833,1.2894005099879145e-11,1.6117506374848931e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cacng4,6.7311063,5.895036,1.6837811530593437e-11,1.9074236681364e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cd9,6.7282906,3.3049133,1.71668130132276e-11,1.9074236681364e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Nnat,6.7113957,3.3709836,1.9277156876142464e-11,2.0291744080149964e-09,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Sirt2,6.2904377,2.6983747,3.1657231842843854e-10,2.8779301675312597e-08,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Tsc22d4,6.0208273,3.3595533,1.735278421019106e-09,1.4460653508492548e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Timp4,6.004637,6.992619,1.917609199196316e-09,1.5340873593570527e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Mmd2,5.8976374,5.667605,3.687436157464522e-09,2.7314341907144605e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
S100b,5.841322,4.048186,5.178827462763746e-09,3.571605146733618e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ddah1,5.6695595,2.9496698,1.4316506935414319e-08,8.947816834633949e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gpr17,5.6590004,5.7170258,1.5225718435036697e-08,9.227708142446483e-07,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Rprm,5.4555607,6.70937,4.8818524416224025e-08,2.7896299666413725e-06,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Fxyd6,5.3724957,3.490924,7.765437526487538e-08,3.982275654608994e-06,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Emid1,5.330259,5.331571,9.807286233253895e-08,4.903643116626948e-06,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pcdh9,5.152865,4.319839,2.565364215727545e-07,1.115375745968498e-05,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Gpr37l1,5.092326,5.4709654,3.536971920526363e-07,1.4147887682105451e-05,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ndrg2,5.014892,2.131662,5.306318796692682e-07,1.9295704715246116e-05,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pcdh15,4.661513,7.6193204,3.138936614919627e-06,9.658266507445005e-05,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Lrp1b,4.6059012,6.275962,4.106833592599516e-06,0.00012259204754028403,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pcp4,4.549586,2.7490842,5.375163130833917e-06,0.00015141304593898358,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Mt3,4.5080533,2.5529246,6.5425211526248885e-06,0.0001817366986840247,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Pid1,4.4306192,2.628201,9.396284204569973e-06,0.00024727063696236773,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Neu4,4.401054,9.309902,1.0772646212402427e-05,0.0002762216977539084,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Nxph1,4.401054,8.819427,1.0772646212402427e-05,0.0002762216977539084,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Spon1,4.3686724,6.98028,1.2500417536753835e-05,0.0003125104384188459,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Luzp2,4.0455623,5.8970256,5.219767926874278e-05,0.0010988985109209005,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cnp,4.020924,2.4652214,5.797023494709111e-05,0.0012077132280643981,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ccnd1,3.939267,1.9484555,8.173097871293117e-05,0.0016679791574067584,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Ednrb,3.8519778,4.375088,0.00011716760239990621,0.0023201505425724,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
Cxcl14,3.8181887,6.796183,0.0001344351298069084,0.0025852909578251617,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
AI854517,3.8111491,6.3347416,0.00013832225622975459,0.002634709642471516,endothelial cell_vs_oligodendrocyte precursor cell,endothelial cell,oligodendrocyte precursor cell
