names,scores,logfoldchanges,pvals,pvals_adj,comparison,ref_group,target_group
Cst3,9.756655,6.390911,1.7276028322368322e-22,8.243963973988425e-20,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Hexb,9.752712,6.996804,1.7960406669070452e-22,8.243963973988425e-20,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Ctss,9.721176,33.573452,2.4493659895753277e-22,8.243963973988425e-20,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
C1qa,9.72019,9.099164,2.4731891921965277e-22,8.243963973988425e-20,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Ctsd,9.656132,5.6543837,4.630195233230393e-22,1.0900266240822464e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
C1qb,9.650218,32.96283,4.905119808370109e-22,1.0900266240822464e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
C1qc,9.650218,32.59746,4.905119808370109e-22,1.0900266240822464e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
P2ry12,9.543782,32.7411,1.3771620825156206e-21,2.50393105911931e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Tyrobp,9.472825,32.13881,2.723768270954064e-21,4.230144920164588e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Lgmn,9.471839,6.4862604,2.7495941981069823e-21,4.230144920164588e-19,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Tmem119,9.259953,31.784761,2.045239025251046e-20,2.9217700360729226e-18,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Selplg,9.153516,31.804613,5.511008255954658e-20,7.348011007939543e-18,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Fcer1g,9.082559,31.549126,1.0605215256584147e-19,1.178357250731572e-17,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Trem2,9.0116005,31.357197,2.0307011277524752e-19,2.13758013447629e-17,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Csf1r,8.834208,31.4087,1.0081064744296153e-18,9.601014042186811e-17,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Cx3cr1,8.47942,30.973103,2.2631977089947657e-17,1.885998090828971e-15,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Ctsz,8.266547,31.027811,1.378943710650801e-16,1.0557556567053519e-14,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
B2m,8.262606,3.3394485,1.425270136552225e-16,1.0557556567053519e-14,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
Gpr34,8.231069,30.875465,1.8555073841420693e-16,1.3253624172443351e-14,oligodendrocyte precursor cell_vs_microglial cell,oligodendrocyte precursor cell,microglial cell
